Train Loss Epoch 40: 0.1070
Valid Loss Epoch 40: 0.0900
Train Accuracy EPOCH 40: 0.9667
Valid Accuracy EPOCH 40: 0.9705
Training Time: 1019.02s

** CUDA API Summary (cuda_api_sum):

Time (%)  Total Time (ns)  Num Calls    Avg (ns)     Med (ns)    Min (ns)    Max (ns)      StdDev (ns)               Name            
 --------  ---------------  ---------  ------------  -----------  --------  -------------  -------------  ----------------------------
     90.6  243,749,918,304     74,372   3,277,442.0     26,400.0    13,088     88,968,704   11,147,035.5  cudaMemcpyAsync             
      6.5   17,408,648,288    986,548      17,646.0     17,216.0     6,560        604,064        5,755.3  cudaLaunchKernel            
      0.8    2,240,521,312     44,772      50,042.9      4,320.0     2,432      1,005,760      115,060.7  cudaStreamSynchronize       
      0.6    1,723,847,360         43  40,089,473.5    753,792.0     3,968  1,037,677,760  170,747,816.5  cudaFree                    
      0.6    1,663,827,680     59,731      27,855.3      2,560.0     1,664  1,503,845,312    6,153,220.9  cudaStreamIsCapturing_v10000
      0.5    1,325,308,352     93,844      14,122.5     12,416.0       800        176,768        5,107.9  cudaMemsetAsync             
      0.2      455,394,752         92   4,949,943.0  5,589,776.0     6,272     11,426,016    3,246,374.5  cudaMalloc                  
      0.1      251,232,736      1,404     178,940.7     55,728.0     4,896     10,725,472      637,953.1  cuModuleUnload              
      0.1      193,621,504         32   6,050,672.0      2,080.0     1,376    192,247,008   33,977,360.1  cudaStreamCreateWithFlags   
      0.0       58,506,144      6,338       9,231.0      9,088.0     7,360         44,928        1,061.6  cudaEventRecord             
      0.0          819,968      1,870         438.5        256.0       160         88,768        2,161.5  cuGetProcAddress            
      0.0          315,264          2     157,632.0    157,632.0    64,576        250,688      131,601.1  cudaHostAlloc               
      0.0          161,920         74       2,188.1        912.0       576         21,408        3,354.3  cudaEventCreateWithFlags    
      0.0           26,496          5       5,299.2      5,216.0     3,456          6,976        1,318.0  cuInit           
