Train Loss Epoch 40: 0.1071
Valid Loss Epoch 40: 0.0888
Train Accuracy EPOCH 40: 0.9670
Valid Accuracy EPOCH 40: 0.9710
Training Time: 351.41s

** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)   Max (ns)   StdDev (ns)                Name               
 --------  ---------------  ---------  -----------  ---------  --------  ----------  -----------  ---------------------------------
     94.7  102,321,421,854     86,212  1,186,858.2    7,271.0     2,850  25,316,730  4,494,722.0  cudaMemcpyAsync                  
      4.4    4,728,808,077    882,647      5,357.5    4,880.0     2,370  26,988,924     45,946.8  cudaLaunchKernel                 
      0.5      535,272,452     44,772     11,955.5      740.0       590   1,121,361     27,834.2  cudaStreamSynchronize            
      0.3      309,431,646     68,460      4,519.9    4,430.0       120     218,902      1,870.3  cudaMemsetAsync                  
      0.1       54,436,947     85,058        640.0      630.0       200       9,510        303.0  cudaStreamIsCapturing_v10000     
      0.0       21,957,889         32    686,184.0  509,409.5       500   6,734,251  1,141,687.1  cudaFree                         
      0.0       20,101,812      2,960      6,791.2    6,610.0     4,480     707,806     12,936.2  cudaLaunchKernelExC_v11060       
      0.0       17,642,037      6,338      2,783.5    2,460.0     1,250     376,893      4,799.7  cudaEventRecord                  
      0.0        7,059,464         54    130,730.8   22,580.5    14,460   4,270,709    585,876.0  cuLibraryUnload                  
      0.0        5,711,680         71     80,446.2   81,830.0     2,270     191,621     37,565.9  cudaMalloc                       
      0.0        1,193,051         32     37,282.8    2,085.0     1,230     847,968    151,400.5  cudaStreamCreateWithFlags        
      0.0          976,328          2    488,164.0  488,164.0     9,820     966,508    676,480.6  cudaHostAlloc                    
      0.0          406,114          3    135,371.3  150,012.0    93,431     162,671     36,868.8  cudaGetDeviceProperties_v2_v12000
      0.0          295,192      1,915        154.1      120.0        50       4,360        164.8  cuGetProcAddress_v2              
      0.0           51,631         74        697.7      275.0       180       5,970      1,108.0  cudaEventCreateWithFlags         
      0.0            5,250          5      1,050.0    1,180.0       740       1,350        285.2  cuInit                           
      0.0            1,630          6        271.7      165.0        80         870        295.8  cuModuleGetLoadingMode           

