Train Loss Epoch 40: 0.1062
Valid Loss Epoch 40: 0.0910
Train Accuracy EPOCH 40: 0.9670
Valid Accuracy EPOCH 40: 0.9695
Training Time: 984.91s

** CUDA API Summary (cuda_api_sum):

Time (%)  Total Time (ns)  Num Calls   Avg (ns)    Med (ns)   Min (ns)   Max (ns)    StdDev (ns)                 Name               
 --------  ---------------  ---------  -----------  ---------  --------  -----------  ------------  ---------------------------------
     64.4  368,047,997,375     44,772  8,220,494.9    3,282.0     1,269  125,832,726  30,875,617.7  cudaStreamSynchronize            
     34.6  197,732,470,037     86,212  2,293,560.9    6,105.0     2,318   60,854,452  11,369,900.1  cudaMemcpyAsync                  
      0.9    5,054,519,394    835,327      6,050.9    5,174.0     2,444  121,328,994     171,808.5  cudaLaunchKernel                 
      0.0      260,548,318     59,620      4,370.1    4,142.0       201      365,316       3,249.7  cudaMemsetAsync                  
      0.0       88,359,450    129,074        684.6      742.0       268       96,772         783.0  cudaStreamIsCapturing_v10000     
      0.0       17,129,986         28    611,785.2  629,803.0       547    2,046,791     396,510.2  cudaFree                         
      0.0        5,854,149         64     91,471.1   78,357.0     3,670      225,449      46,524.9  cudaMalloc                       
      0.0        2,435,992          3    811,997.3   57,941.0    16,634    2,361,417   1,341,995.7  cuLibraryUnload                  
      0.0          902,814          4    225,703.5   33,533.0    10,127      825,621     400,108.0  cudaHostAlloc                    
      0.0          409,416         32     12,794.3    1,828.0     1,663      145,734      34,768.0  cudaStreamCreateWithFlags        
      0.0          349,628          3    116,542.7  108,276.0    70,117      171,235      51,063.4  cudaGetDeviceProperties_v2_v12000
      0.0          256,679      1,634        157.1      121.0        75       21,138         533.2  cuGetProcAddress_v2              
      0.0           36,771         38        967.7      302.0       275        5,062       1,287.7  cudaEventCreateWithFlags         
      0.0           12,274          5      2,454.8    2,525.0     1,745        3,038         481.7  cuInit                           
      0.0            1,486          5        297.2      237.0       175          610         180.9  cuModuleGetLoadingMode           
      0.0              761          2        380.5      380.5       236          525         204.4  cudaGetDriverEntryPoint_v11030  

